Number,Arabic,English
1015,معالج ذو شرائح بتية,bit slice processor
1016,تشريح بت,bit slicing
1017,انزلاق بتات,bit slip
1018,خزن بتات,bit storage
1019,دفقة بتات,bit stream
1020,متوالية بتات,bit string
1021,مؤثرات متوالية بتات,bit string operators
1022,حشو بتات,bit stuffing
1023,معدل حشو البتات,bit stuffing rate
1024,مزامنة البتات,bit synchronization
1025,معدل نقل البتات,bit transfer rate
1026,متجه بتات,bit vector
1027,تشذير بتات/بايتات,bit/byte-interleaving
1028,بت في الثانية (بت/ثا),bit/s
1029,سلامة عدد البتات,bit-count integrity
1030,إرسال ثنائي [النبضة],biternary transmission
1031,تنظيم ندية ببتات مشذرة,bit-interleaved parity organization
1032,توزيع [معطيات] على مستوى البتات,bit-level striping
1033,تقابل بتي,bitmap
1034,ملف تقابل بتي,bitmap file
1035,نسق التقابل البتي,bitmap format
1036,بيانيات تقابل بتي,bitmap graphics
1037,فهرسة تقابل بتي,bitmap indexing
1038,بنط مقابل بتيا,bitmapped font
1039,بيانيات مقابلة بتيا,bitmapped graphics
1040,صورة مقابلة بتيا,bitmapped image
1041,بروتوكول بتي التوجه,bit-oriented protocol
1042,جداء معدل [نقل] البتات في المسافة,bit-rate distance product
1043,تفيض معدل [نقل] البتات,bit-rate reduction
1044,بت/بكسل,bits per pixel
1045,بت/ثانية,bits per second
1046,استقلال عن تتالي البتات,bit-sequence independence
1047,إرسال دفقات بتات,bit-stream transmission
1048,أنواع معطيات متوالية البتات,bit-string data types
1049,زبون BitTorrent,BitTorrent client
1050,مؤثرات بتية,bitwise operators
1051,[تعبي] bixie,bixie
1052,إطار عمل BizTalk,BizTalk framework
1053,خازنة BizTalk,BizTalk repository
1054,مخدم BizTalk,BizTalk Server
1055,تلفاز أبيض وأسود,black and white TV
1056,صندوق أسود,black box
1057,اختبار الصندوق الأسود,black box testing
1058,مخترق ذو قبعة سوداء,black hat hacker
1059,مستوى السواد,black level
1060,تثبيت مستوى الأسود,black level clamping
1061,ضجيج أسود,black noise
1062,إشارة سوداء,black signal
1063,لوح أسود,blackboard
1064,نظام التعليم Blackboard,Blackboard learning system
1065,توصيف الصندوق الأسود,black-box specification
1066,لائحة سوداء,blacklist
1067,انقطاع التيار,blackout
1068,نصل,blade
1069,هوائي نصلي,blade antenna
1070,حاسوب شخصي نصلي,blade PC
1071,مخدم نصلي,blade server
1072,فراغ، بياض، عدم إظهار,blank
1073,محرف الفراغ,blank character
1074,تشويش,blanketing
1075,منطقة حاجبة,blanketing area
1076,طمس,blanking
1077,مستوى الطمس,blanking level
1078,نبضة طمس,blanking pulse
1079,معلم,bleed
1080,مركز نداء مختلط,blended call center
1081,تعليم مختلط,blended learning
1082,تهديد مختلط,blended threat
1083,(معدل أخطاء الكتل الأعظمي) BLERmax,BLERmax (muximun of BLock Error Rate)
1084,نسخة كربونية خفية,blind carbon copy
1085,نسخة خفية (BC),Blind Copy
1086,نسخة خفية للاطلاع,blind courtesy copy
1087,مرجع تصالبي أعمى,blind cross reference
1088,بحث أعمى,blind search
1089,توقيع أعمى,blind signature
1090,إرسال أعمى,blind transmission
1091,يومض,blink (v)
1092,سرعة الوميض,blink speed
1093,ومض، وامض,blinking
1094,[علامة [متحسسة,blip
1095,نقل كتلي [للبتات],blitting
1096,برمجيات متضخمة,bloatware
1097,رماز كتلي,bloc code
1098,مشذر كتلي,bloc interleaver
1099,كتلة,block
1100,نفاذ كتلي,block access
1101,خابية صوان كتلي,block buffer cache
1102,تعمية كتلية,block cipher
1103,نمط تعمية كتلية,block cipher mode
1104,ترميز كتلي,block coding
1105,منزلقة مصمتة,block cursor
1106,تجهيزة كتلية,block device
1107,مخطط صندوقي,block diagram
1108,معدل أخطاء الكتل (BLER),BLock Error Rate
1109,اختبار معدل أخطاء الكتل (BLER),BLock Error Rate test
1110,نسق الكتل,block format
1111,فجوة بين الكتل,block gap
1112,إجراء تناول الكتل,block handling routine
1113,ترويسة كتلة,block header
1114,طول كتلة,block length
1115,تحريك كتلة,block move
1116,مضمم كتلي,block multiplexer
1117,قناة مضمم كتلي,block multiplexer channel
1118,نمط مضمم كتلي (BMM),Block Multiplexer Mode
1119,ندية كتلية,block parity
1120,حجم كتلة,block size
1121,فرز كتلي,block sort
1122,بنية كتلة,block structure
1123,نقل كتلة,block transfer
1124,إخفاق نقل كتلي,block transfer failure
1125,معدل نقل الكتل,block transfer rate
1126,مدة نقل الكتلة,block transfer time
1127,حركة سير مجوبة,blocked traffic
1128,احتمال أخطاء الكتل,block-error probability
1129,حجب,blocking
1130,تشويه كتلي,blocking artifact
1131,عامل تكتيل,blocking factor
1132,شبكة ذات حجب,blocking network
1133,بروتوكول الحجب,blocking protocol
1134,برمجيات الحجب,blocking software
1135,شبكة ابتدال ذات حجب,blocking switching network
1136,ندية موزعة بكتل مشذرة,block-interleaved distributed parity
1137,بروتوكول تبادل كتلي توسعي (BEEP),Blocks Extensible Exchange Protocol
1138,لغة ذات بنية كتلية,block-structured language
1139,مدونة (وب),blog
1140,يدون,blog (v)
1141,خدمة تضييف مدونات,blog hosting service
1142,شبكة مدونات,blog network
1143,إعلام مدونة,blog ping
1144,برمجيات نشر المدونات,blog publishing software
1145,برمجيات مدونات,blog software
1146,إذاعة مدونات,blogcast
1147,دعوة إلى مدونات,blognosing
1148,ثرثرة مدونات,blogorrhea
1149,مجال المدونات,blogosphere
1150,إنشاء مدونات,blogrolling
1151,كتاب مدونات,blook
1152,[خوارزمية] Blowfish,Blowfish
1153,مخترق ذو قبعة زرقاء,blue hat hacker
1154,ليزر أزرق,blue laser
1155,ضجيج أزرق,blue noise
1156,شاشة زرقاء,blue screen
1157,شاشة الموت الزرقاء (BSD),Blue Screen of Death
1158,بلوتوث,Bluetooth
1159,[حاسوب] BlueGene,BlueGene
1160,اختطاف بالبلوتوث,Bluejacking
1161,طبعة زرقاء,blueprint
1162,سرقة بالبلوتوث,Bluesnarfing
1163,وغل بالبلوتوث,Bluespam
1164,بلوتوث مع EDR,Bluetooth + EDR
1165,مسرد [مصطلحات] البلوتوث,Bluetooth glossary
1166,سماعة بلوتوث,Bluetooth handset
1167,سماعة بلوتوث رأسية,Bluetooth headset
1168,اقتران بالبلوتوث,Bluetooth pairing
1169,هاتف ببلوتوث,Bluetooth phone
1170,مسرى تسلسلي عميم (USB) بالبلوتوث,Bluetooth Universal Serial Bus
1171,فيروس بالبلوتوث,Bluetooth virus
1172,[بروتوكول] لاسلكي بلوتوث,Bluetooth wireless
1173,عدد Blum الصحيح,Blum integer
1174,يغشي,blur (v)
1175,[قرص] Blu-ray,Blu-ray
1176,قرص بأشعة زرقاء,Blu-ray disk
1177,تغشية,blurring
1178,ملف BMK,BMK file
1179,ملف bmp,BMP file
1180,مربط BNC,BNC connector
1181,مزيل BO,BO remover
1182,لوح، لوحة,board
1183,حاسوب وحيد اللوحة,board computer
1184,مستوى اللوحة,board level
1185,نمط [محرف] للمتن,body face
1186,حاسوب ردائي,body-worn computer
1187,[قياس] BogoMips,BogoMips
1188,مقدار الزيف,bogon
1189,ترشيح الزيف,bogon filtering
1190,غامق,bold
1191,طباعة غامقة,bold print
1192,[نمط محرف] غامق,boldface
1193,خاصية محرف غامق,boldface attribute
1194,بنط محرف غامق,boldface font
1195,قنبلة,bomb
1196,يربط، رابط,bond
1197,مودم تماثلي مربوط,bonded analog modem
1198,DSL مربوط,bonded DSL
1199,حلقات DSL مربوط,Bonded DSL Rings
1200,مودم مربوط,bonded modem
1201,[طريقة] Booch,Booch
1202,علامة مرجعية,bookmark
1203,ملف علامات مرجعية,bookmark file
1204,بوابة العلامات المرجمعية,bookmark portal
1205,بولي,Boolean (adj)
1206,جبر بول,Boolean algebra
1207,دارة بولية,Boolean circuit
1208,معطيات بولية,Boolean data
1209,أنواع معطيات بولية,Boolean data types
1210,معادلة بولية,Boolean equation
1211,عبارة بولية,Boolean expression
1212,(دالة بولية (تابع بولي,Boolean function
1213,منطق بولي,Boolean logic
1214,عملية بولية,Boolean operation
1215,مؤثر بولي,Boolean operator
1216,بحث بولي,Boolean search
1217,خاصيات نوع بولي,Boolean type attributes
1218,إقلاع,boot
1219,كتلة إقلاع,boot block
1220,قرص إقلاع,boot disk
1221,مسوق إقلاع,boot drive
1222,إخفاق الإقلاع,boot failure
1223,محمل لإقلاع,boot loader
1224,[برنامج] إدارة الإقلاع,boot manager
1225,ترتيب الإقلاع,boot order
1226,تقسيمة إقلاع,boot partition
1227,بروتوكول إقلاع,boot protocol
1228,سجل إقلاع,boot record
1229,ROM الإقلاع,boot ROM
1230,قطاع إقلاع,boot sector
1231,إصابة قطاع الإقلاع,boot sector infection
1232,تتالي إقلاع,boot sequence
1233,فيروس الإقلاع,boot virus
1234,إقلاعي,bootable
1235,قرص متراص إقلاعي,bootable CD
1236,CR-ROM إقلاعي,bootable CD-ROM
1237,قرص إقلاعي,bootable disk
1238,مسوق USB إقلاعي,bootable USB drive
1239,شريحة USB إقلاعية,bootable USB stick
1240,إقلاع,booting
1241,برمجيات مقرصنة,bootleg software
1242,[بروتوكول] BOOTP,BOOTP
1243,محمل إقلاع,bootstrap loader
1244,برنامج إقلاع,bootstrap program
1245,بروتوكول إقلاع,bootstrap protocol
1246,تمهيد الإقلاع,bootstrapping
1247,طرف، حافة ، حد,border
1248,بروتوكول العبارة الطرفية (BGP),Border Gateway Protocol
1249,بورغ,Borg
1250,[لغة] ++C من Borland,Borland C++
1251,محرك قاعدة معطيات من Borland,Borland Database Engine
1252,شاشة مدير,boss screen
1253,دارات هاتفية بالاتجاهين,both-way telephone circuits
1254,شبكة ربوتات [برمجية],botnet
1255,طقم أدوات لتثبيط شبكة ربوتات,botnet mitigation toolkit
1256,عنق الزجاجة,bottleneck
1257,تحليل صعودي,bottom up analysis
1258,صعودي,bottom-up
1259,تركيب مفاهيمي صعودي,bottom-up conceptual synthesis
1260,تصميم صعودي,bottom-up design
1261,برمجة صعودية,bottom-up programming
1262,أفضل ما في الوب,BOTWEB
1263,يرتد,bounce (v)
1264,رسالة مرتدة,bounce message
1265,بريد إلكتروني مرتد,bounced e-mail
1266,محدود,bound (adj)
1267,عقدة حدودية,boundary node
1268,موجه حدودي,boundary router
1269,[موجه] Boundary Routing,Boundary Routing
1270,[تقنية] مسح حدودي,boundary scan
1271,تحليل القيم الحدودية (BVA),Boundary Value Analysis
1272,صوان محدود,bounded-buffer
1273,مظرف Bourne,Bourne shell
1274,مخطط صندوقي,box diagram
1275,معالج معلب,boxed processor
1276,خوارزمية Boyer-Moore,Boyer-Moore algorithm
1277,ملف BPD,BPD file
1278,[بروتوكول] BPDU,BPDU
1279,[لغة] BPEL,BPEL
1280,طقم BPM,BPM suite
1281,نظام BPM,BPM system
1282,[لغة] BPML,BPML
1283,[تدوين] BPON,BPON
1284,[لغة] BPQL,BPQL
1285,[تعديل] BPSK,BPSK
1286,[مختطة] BPSS,BPSS
1287,قوسان معقوفان,brackets
1288,درع محبوك,braided shield
1289,مظهار بريل,Braille display
1290,[حاسوب] مذكرة بريل,braille notebook
1291,طابعة بريل,Braille printer
1292,واجهات حاسوبية للدماغ,brain computer interfaces
1293,انتساخ [معلومات] الدماغ,brain dump
1294,عقدة تفريع، تفريعة,branch
1295,[إجراء] فرع وحدد,branch & bound (v)
1296,عنوان تفريع,branch address
1297,تعليمة تفريع,branch instruction
1298,عقدة تفريع,branch node
1299,نقطة تفرع,branch point
1300,تنبؤ بالتفريع,branch prediction
1301,صوان هدف التفريع (BTB),Branch Target Buffer
1302,اختبار تفريع,branch testing
1303,تفريع,branching
1304,شبكة تفريع,branching network
1305,مكرر تفريع,branching repeater
1306,خداع العلامة التجارية,brand spoofing
1307,[تسويق ب] العلامات التجارية,branding
1308,لوح توصيل,breadboard
1309,اختبار على لوح توصيل,breadboard testing
1310,اتساع الاختبار,breadth of testing
1311,بحث بالعرض أولا (BFS),Breadth-First Search
1312,يوقف,break (v)
1313,مفتاح الإيقاف,break key
1314,انهيار,breakdown
1315,اقتحام، مدة اختبار,break-ins
1316,علبة فصل/وصل بيني,break out box
1317,نقطة إيقاف,breakpoint
1318,تعليمة نقطة إيقاف,breakpoint instruction
1319,مرشح جدار قرميدي,brick wall filter
1320,[نموذج أعمال] قرميدات، ونقرات، وتقليبات,bricks
1321,جسر,bridge
1322,[نسق] قرص الجسر,bridge disc
1323,موجه جسري,bridge router
1324,نقطة تفرع جسرية,bridge tap
1325,محول جسري,bridge transformer
1326,[شبكة] LAN جسرية,bridged LAN
1327,محطة بين جسرين,bridge-to-bridge station
1328,جسريات,bridgeware
1329,تجسير,bridging
1330,[نسبة] الفقد بالتجسير,bridging loss
1331,حقيبة,briefcase
1332,سطوع,brightness
1333,تألق,brilliance
1334,[شركة] Brio,Brio
1335,معهد المعايير البريطانية (BSI),British Standards Institution
1336,[الشركة] البريطانية الاتصالات (BT),British Telecom
1337,قناة عريضة النطاق,broad band channel
1338,عريض النطاق,broadband (adj)
1339,نفاذ عريض النطاق,broadband access
1340,موائمة عريضة النطاق,broadband adapter
1341,مضخم عريض النطاق,broadband amplifier
1342,هوائي عريض النطاق,broadband antenna
1343,مقو عريض النطاق,broadband booster
1344,بطاقة عريضة النطاق,broadband card
1345,ربط عريض النطاق,broadband connection
1346,توصيلية عريضة النطاق,broadband connectivity
1347,مقسم عريض النطاق,broadband exchange
1348,مرشح عريض النطاق,broadband filter
1349,بوق عريض النطاق,broadband horn
1350,الشبكة الرقمية للخدمات المتكاملة العريضة النطاق,Broadband Integrated Services Digital Network
1351,الإنترنت (الشابكة) العريضة النطاق,broadband Internet
1352,خدمات الإنترنت (الشابكة) العريضة النطاق,broadband Internet services
1353,[بروتوكول] IP العريض النطاق,broadband IP
1354,شبكة ISDN العريضة النطاق,broadband ISDN
1355,واجهة بين ناقلين لشبكة ISDN العريضة النطاق,broadband ISDN intercarrier interface
1356,[مضخم] كليسترون العريض النطاق,broadband Klystron
1357,شبكة LAN العريضة النطاق,broadb and LAN
1358,مودم عريض النطاق,broadband modem
1359,شبكة عريضة النطاق,broadband network
1360,[اتصالات] عريضة النطاق على خطوط القدرة,broadband over power line
1361,شبكة ضوئية سلبية عريضة النطاق (BPON),Broadband Passive Optical Network
1362,هاتف عريض النطاق,broadband phone
1363,شركة هواتف عريضة النطاق,broadband phone company
1364,خدمة هاتفية عريضة النطاق,broadband phone service
1365,شبكات نفاذ راديوية عريضة النطاق (BRAN),Broadband Radio Access Networks
1366,موجه عريض النطاق,broadband router
1367,خدمة عريضة النطاق,broadband service
1368,مزود خدمة عريضة النطاق,broadband service provider
1369,نظام الطيف المنثور العريض النطاق,broadband spread-spectrum system
1370,نظام ابتدال عريض النطاق,broadband switching system
1371,منظومة عريضة النطاق,broadband system
1372,تقانات عريضة النطاق,broadband technologies
1373,هاتف عريض النطاق,broadband telephone
1374,هتف عريض النطاق,broadband telephony
1375,واجهة شبكة مستعمل عريضة النطاق (BUNI),Broadband User Network Interface
1376,لاسلكي عريض النطاق,broadband wireless
1377,نفاذ لاسلكي عريض النطاق (BWA),Broadband Wireless Access
1378,بث ، إذاعة,broadcast
1379,عنوان بثي,broadcast address
1380,نطاق بث,broadcast band
1381,اتصال بثي,broadcast call
1382,اتصال بثي للمؤتمرات,broadcast conference call
1383,نطاق بث,broadcast domain
1384,رسالة بث,broadcast message
1385,رزم بثية,broadcast packets
1386,جودة البث,broadcast quality
1387,محطة بث,broadcast station
1388,بث إغراقي,broadcast storm
1389,حركة سير بثية,broadcast traffic
1390,[تصوير] فيديوي بثي,broadcast videography
1391,قناة بث,broadcasting channel
1392,شبكة بث,broadcasting network
1393,محطة فضائية لساتل بث,broadcasting satellite space station
1394,متلق (مجيب) لساتل بث,broadcasting-satellite transponder
1395,التقاط بثي,broadcatching
1396,هوائي متعامد,broadside antenna
1397,وصلة مقطوعة,broken link
1398,مقاول,broker
1399,ربط خاص لندين بمقاول,brokered private peering
1400,جسر موجه,brouter
1401,حقل أسمر,brownfield
1402,انخفاض التغذية,brownout
1403,تصفحية,browsability
1404,يتصفح,browse (v)
1405,متصفح,browser
1406,خابية متصفح,browser cache
1407,رموز [حالة] متصفح,browser codes
1408,توافقية متصفح,browser compatibility
1409,مختطف متصفح,browser hijacker
1410,اختطاف متصفح,browser hijacking
1411,[برمجيات] مقبسية لمتصفح,browser plug-ins
1412,تجسس متصفح,browser sniffing
1413,علامات جدولة لمتصفح,browser tabs
1414,بدائي,brute force
1415,هجوم بدائي,brute force attack
1416,برمجة بدائية,brute force programming
1417,[المعيار] BS 7799,BS 7799
1418,يونكس BSD,BSD UNIX
1419,[لغة] BSDL,BSDL
1420,قدة [من النوع] B,B-spline
1421,[طريقة] BTAM,BTAM
1422,[من] أعمال-إلى-أعمال,b-to-b
1423,[من] أعمال-إلى-مستهلك,b-to-c
1424,شجرة B,B-tree
1425,[برمجية] Btrieve,Btrieve
1426,(مدة نقل كتلة) BTT,BTT (Block Transfer Time)
1427,فقاعة,bubble
1428,مخطط فقاعي,bubble chart
1429,ذاكرة فقاعية,bubble memory
1430,فرز فقاعي,bubble sort
1431,فيروس BubbleBoy,BubbleBoy virus
1432,طابعة بالنفث الفقاعي,bubble-jet printer
1433,فرز دلوي,bucket sort
1434,خوارزمية الكومة المرافقة,buddy-heap algorithm
1435,صوان,buffer
1436,مضخم عازل,buffer amplifier
1437,ترحيل [محتويات] صوان,buffer flush
1438,ذاكرة صوان,buffer memory
1439,فيض صوان,buffer overflow
1440,تجاوزات الصوان,buffer overruns
1441,صفحة صوان,buffer page
1442,حوض أصونة,buffer pool
1443,سجل صوان,buffer register
1444,خزن صوان,buffer storage
1445,حاسوب بصوان,buffered computer
1446,دخل/خرج بصوان,buffered input/output
1447,تصوين,buffering
1448,متوافق في العثرة,bug compatible
1449,إصلاح العثرات,bug fix
1450,وراثة العثرات,bug inheritance
1451,رقع العثرات,bug patches
1452,مثقل بالعثرات,bug ridden (adj)
1453,اصطياد العثرات,bug shooting
1454,نظام تتبع العثرات,bug tracking system
1455,ترقية مفلاة,bugrade
1456,تتبع العثرات,bug-tracking
1457,هوائي مضمن,built-in antenna
1458,فحص مضمن,built-in check
1459,حشو مضمن,built-in redundancy
1460,اختبار ذات مضمن (BIST),Built-In Self Test
1461,برنامج BCP,Bulk Copy Program
1462,معطيات ضخمة,bulk data
1463,تعمية كلية,bulk encryption
1464,ماح كلي,bulk eraser
1465,ذاكرة ضخمة,bulk memory
1466,[وسط] خزن ضخم,bulk storage
1467,كرية تعداد,bullet
1468,لوحة نشرات,bulletin board
1469,نظام لوحة النشرات (BBS),Bulletin Board System (BBS)
1470,قوائم تعداد نقطي,bullet-point lists
1471,مقاوم للعطل,bulletproof (adj)
1472,خدمة مصرورة,bundled service
1473,برمجيات مصرورة,bundled software
1474,برمجيات مصرورة,bundleware
1475,صر,bundling
1476,كبل تحت أرضي,buried cable
1477,يحرق,burn (v)
1478,يجري اختبار الإجهاد، يحرق,burn in (v)
1479,رشقة,burst
1480,[ذاكرة] EDO الرشقية,Burst EDO
1481,رمز مصحح لرشقات الأخطاء,burst Error-Correcting Code
1482,نمط رشقي,burst mode
1483,معدل الرشق,burst rate
1484,سرعة الرشق,burst speed
1485,ابتدال رشقي,burst switching
1486,إرسال رشقي,burst transmission
1487,حامل بنمط رشقي,burst-mode carrier
1488,بطاقة مسرى,bus card
1489,مرقم مسرى,bus enumerator
1490,توسيع مسرى,bus expansion
1491,موسع مسرى,bus extender
1492,وحدة واجهة مسرى (BIU),Bus Interface Unit
1493,حيازة المسرى,bus mastering
1494,فأرة مسروية,bus mouse
1495,شبكة مسروية,bus network
1496,سرعة المسرى,bus speed
1497,نظام المسرى,bus system
1498,طبولوجيا مسروية,bus topology
1499,خطة استمرار الأعمال (BCP),Business Continuity Plan
1500,معالجة معطيات الأعمال,business data processing
1501,بيانيات الأعمال,business graphics
1502,حاضنة الأعمال,business incubator
1503,نظام معلومات الأعمال (BIS),Business Information System
1504,ذكاء الأعمال (BI),Business Intelligence
1505,بوابة ذكاء الأعمال (BIP),Business Intelligence Portal
1506,برمجيات ذكاء الأعمال,Business Intelligence software
1507,منطق أعمال,business logic
1508,نموذج الأعمال,business model
1509,أغراض الأعمال (BO),Business Objects
1510,إجرائية الأعمال,business process
1511,لغة تنفيذ إجرائيات الأعمال لخدمات الوب,Business Process Execution Language For Web Services (BPEL4WS or BPEL)
1512,إدارة إجرائيات الأعمال (BPM),Business Process Management
1513,نمذجة إجرائيات الأعمال (BPM),Business Process Modeling
1514,لغة نمذجة إجرائيات الأعمال (BPML),Business Process Modeling Language (BPML)
1515,إعادة هندسة إجرائيات الأعمال (BPR),Business Process Reengineering
1516,برمجة الأعمال,business programming
1517,قواعد الأعمال,business rules
1518,محرك قواعد الأعمال (BRE),Business Rules Engine
1519,لغة تأشير قواعد الأعمال (BPML),Business Rules Markup Language
1520,برمجيات الأعمال,business software
1521,اتحاد برمجيات الأعمال (BSA),Business Software Alliance
1522,طقم أعمال,business suite
1523,تصميم نظام الأعمال,business system design
1524,جمعية تقانة الأعمال (BTA),Business Technology Association
1525,[من] أعمال-إلى-أعمال (B2B),Business to Business
1526,[من] أعمال-إلى-مستهلك (B2C),Business to Consumer
1527,بروتوكول معاملات الأعمال (BTP),Business Transaction Protocol
1528,مقود بالأعمال,business-driven
1529,نموذج معطيات لمستوى الأعمال,business-level data model
1530,نمذجة معطيات لمستوى الأعمال,business-level data modeling
1531,[أداة] BusinessMiner,BusinessMiner
1532,[برنامج] BusinessQuery لإكسل,BusinessQuery for Excel
1533,ساعة ازدحام,busy hour
1534,إشارة الانشغال,busy signal
1535,مدة الانشغال,busy time
1536,نغمة الانشغال,busy tone
1537,مبدال فراشي,butterfly switch
1538,زر,button
1539,مساعدة بلأزرار,button help
1540,(نفاذ لاسلكي عريض النطاق) BWA,BWA (Broa dband Wireless Access)
1541,مجموعة رقاقات BX,BX chipset
1542,بالاغتفال، اغتفالا,by default
1543,بالمرجع,by reference
1544,تخط,bypass
1545,منتج جانب,by-product
1546,بايت، ثانية,byte
1547,قابل للعنونة (يعنون) بالبايت,byte addressable (adj)
1548,تشذير بايتات,byte interleaving
1549,قناة مضممة بالبايت,byte multiplexer channel
1550,تضميم بالبايت,byte multiplexing
1551,ترتيب بايتي,byte order
1552,دفقة بايتات,byte stream
1553,رماز بايتي,bytecode
1554,بروتوكول بايتي التوجه,byte-oriented protocol
1555,بايت في الإنش، بايت/إنش,bytes per inch
1556,بايت في الثانية ، بايت/ثا,bytes per second
1557,[برنامج] BZIP,BZIP
1558,النطاق C,C band
1559,القناة C,C channel
1560,مظرف C,C shell
1561,إيثاق لغة ++,C C++ language binding
1562,[أداة] C++Builder,C++Builder
1563,صندوق [الحاسوب],cabinet
1564,[فيروس] Cabir,Cabir
1565,توزيع كبلي,cable distribution
1566,[مسجل] DVR كبلي,cable DVR
1567,عبارة كبلية,cable gateway
1568,مودم كبلي,cable modem
1569,موجه كبلي,cable router
1570,هتف كبلي,cable telephony
1571,تلفاز كبلي (CATV),cable television
1572,خدمة ترحيل لتلفزة كبلية,cable television relay service
1573,منظومة تلفزة كبلية,cable television system
1574,عبارة لكبل/,DSL cable/DSL gateway
1575,مودم كبلي/,DSL cable/DSL modem
1576,موجه كبل/,DSL cable/DSL router
1577,تكبيل,cabling
1578,مخطط تكبيل,cabling diagram
1579,[ذاكرة] خابية,cache
1580,بطاقة [ذاكرة] خابية,cache card
1581,تساوق [ذاكرة] خابية,cache coherency
1582,تضارب [ذاكرة] خابية,cache conflict
1583,متحكم في [ذاكرة] خابية,cache controller
1584,كتابة سريعة في الخابية (CFW),Cache Fast Write (CFW)
1585,ملف مخبأ,cache file
1586,إصابة [ذاكرة] خابية,cache hit
1587,سطر [ذاكرة] خابية,cache line
1588,ذاكرة خابية,cache memory
1589,إخفاق [ذاكرة] خابية,cache miss
1590,تسميم [ذاكرة] خابية,cache poisoning
1591,نسخ [ذاكرة] خابية,cache replication
1592,مخدم [ذاكرة] خابية,cache server
1593,محتوى خبوء,cacheable content
1594,نظام ملفات مباة,cacheFS (cache file system)
1595,[برنامج] إدارة [ذاكرة] خابية,cache-manager
1596,دفقة كاتب الخابية,cache-writer thread
1597,تصميم/تصنيع بمعونة الحاسوب CAD/CAM,CAD/CAM (computer-aided design/computer-aided manufacturing)
1598,نظام مساحي,cadastre system
1599,[نظام] CADD,CADD
1600,ميقاتية سيزيوم,caesium clock
1601,هوائي قفصي,cage antenna
1602,تقفيص,caging
1603,حقل محسوب,calculated field
1604,حساب بمخططات محاذاة,calculation by nomograms
1605,رقاقة [آلة] حاسبة,calculator chip
1606,برنامج تقويم,calendar program
1607,يعاير,calibrate (v)
1608,معايرة,calibration
1609,استدعاء، اتصال,call
1610,وكيل اتصال,call agent
1611,تشوير مرتبط بالاتصال (CAS),Call Associated Signaling
1612,محاولة اتصال,call attempt
1613,[عدد] محاولات الاتصال في الساعة,call atte mpts per hour
1614,اتصال عائد,call back
1615,مزج اتصال,call blending
1616,استدعاء بالعنوان,call by address
1617,استدعاء بالاسم,call by name
1618,استدعاء بالمرجع,call by reference
1619,استدعاء بالقيمة,call by value
1620,سعة الاتصال,call capacity
1621,فيض مركز اتصال,call center overflow
1622,مركز اتصال,call center/centre
1623,معدل إتمام الاتصال,call completion rate
1624,خدمة إتمام الاتصال,call completion service
1625,متحكم يفالاتصال,call controller
1626,قناة معطيات اتصال,call data channel
1627,سجل تفاصيل اتصال,call detail record
1628,مدة الاتصال,call duration
1629,تشعيب اتصال,call forking
1630,إحالة مكالمة,call forward
1631,[خدمة] إحالة مكالمة,call forwarding
1632,بوابة اتصال,call gate
1633,تعليمة CALL,CALL instruction
1634,كثافة مكالمات,call intensity
1635,واجهة على مستوى الاستدعاء (CLI),Call Level Interface
1636,خدمة إعلام بمكالمة,call notification service
1637,[سمة] موقف مكالمات,call park
1638,معالجة مكالمة,call processing
1639,إعادة المكالمة,call return
1640,خدمة توجيه مكالمات,call routing service
1641,دلالة استدعاء,call semantics
1642,مدة إعداد الاتصال,call set-up time
1643,إشارة مكالمة,call sign
1644,فيض مكالمات,call spill-over
1645,تشطير اتصال,call splitting
1646,كدسة للاستدعاءات,call stack
1647,رزم الإشراف على المكالمات,call supervision packets
1648,[خدمة] تعقب المكالمات,call trace
1649,تعقب المكالمات,call tracing
1650,تحويل مكالمة,call transfer
1651,تسيير مكالمات,call vectoring
1652,تراسل اتصالات عائدة,call-back messaging
1653,مودم اتصالات عائدة,callback modem
1654,إجراء مستدعى,called routine
1655,معرف المشترك المتصل به (CSID),Called Subscriber IDentification
1656,معرف المتصل,caller ID
1657,معرف المتصل,caller identification
1658,معرف خط المتصل (CLID),Calling Line IDentification
1659,[خدمة] حجب اسم المتصل ورقمه,calling name and number blocking
1660,إعطاء اسم المتصل,calling name delivery
1661,إعطاء رقم المتصل,calling number delivery
1662,برنامج مستدع,calling program
1663,معدل اتصال,calling rate
1664,إجراء مستدع,calling routine
1665,متتالية استدعاء,calling sequence
1666,إشارة معرف خط المتصل,calling-line identification signal
1667,إشارة عدم قبول الاتصال,call-not-accepted signal
1668,مدة طلب الاتصال,call-request time
1669,خطة تحصيص إشارات الاتصال,call-sign allocation plan
1670,كمرة فيديوية مسجلة,camcorder
1671,كمرة,camera
1672,بطاقة كمرة,camera card
1673,عدسة كمرة,camera lens
1674,ذاكرة كمرة,camera memory
1675,معالج كمرة,camera-processor
1676,جاهز للتصوير,camera-ready
1677,[متصفح] Camino,Camino
1678,نظام معلومات لحرم جامعي,campuswide information system
1679,(شبكة حرم جامعي) CAN,CAN (Campus Area Network)
1680,مسرى CAN,CAN bus
1681,إلغاء,cancel
1682,ربوت إلغاء,cancelbot
1683,ملغي الرسائل,CancelBunny
1684,شمعة,candela
