english,arabic,url,arabic_description
Cobots,الكوبوت,https://arabicglossary.dubaifuture.ae/ar/words/cobots,روبوت تعاوني صناعي يمكنه العمل بأمان جنباًً إلى جنب مع البشر في مساحة عمل مشتركة.
Computational chemistry,الكيمياء الحاسوبية,https://arabicglossary.dubaifuture.ae/ar/words/computational-chemistry,فرع من الكيمياء التي تستفيد من المحاكاة الحاسوبية للعمل على حل المسائل والتفاعلات الكيميائية ومعرفة خصائص الجزيئات الناتجة عن تلك التفاعلات.
Computational linguistics,اللغويات الحوسبية,https://arabicglossary.dubaifuture.ae/ar/words/computational-linguistics,أبحاث اللغويات التي تجرى باستخدام الحواسيب
Hand-Wing Index (HWI),المؤشر الجناحي اليدوي,https://arabicglossary.dubaifuture.ae/ar/words/hand-wing-index-hwi,نسبة مسافة كيب (المسافة بين طرف الريشة الثانوية الأولى، وطرف الريشة الرئيسة الطولى) إلى إجمالي وتر جناح الطائر. ومِن ثَم ممكن عدُّه مسافةَ كيب بالنسبة للحجم. وعلوُّ المؤشر يدل على جناح مدبب (نسبة باعية عالية) مناسبة للطيران المطوَّل، وانخفاضه يدل على جناح مستدير (نسبة باعية منخفضة)، لطيران أقصر أو أضعف.
Synthetic organisms,المتعضيات الاصطناعية,https://arabicglossary.dubaifuture.ae/ar/words/synthetic-organisms,مجال بحث متعدد التخصصات يسعى إلى إنشاء أجزاء وأجهزة وأنظمة بيولوجية جديدة أو إعادة تصميم الأنظمة الموجودة بالفعل في الطبيعة.
Cryo-electron microscopy,المجهر الإلكتروني فائق البرودة,https://arabicglossary.dubaifuture.ae/ar/words/cryo-electron-microscopy,مجهر إلكتروني يفحص العينات المبردة الموضوعة في بيئة من الجليد اللابلوري
Simulation,المحاكاة,https://arabicglossary.dubaifuture.ae/ar/words/simulation,أسلوب راسخ القواعد نسبياً، ويستخدم في بناء صورة للتطورات المستقبلية المحتملة.
Biomimicry,المحاكاة الحيوية,https://arabicglossary.dubaifuture.ae/ar/words/biomimicry,تعني محاكاة الطبيعة تقليد الأشكال أو الخصائص أو العمليات الحيوية الطبيعية في إطار مناهج الهندسة والتصميم لتطوير منتجات وعمليات بجودة أفضل.
Whole brain emulation (WBE),المحاكاة الكاملة للدماغ,https://arabicglossary.dubaifuture.ae/ar/words/whole-brain-emulation-wbe,المحاكاة الكاملة للدماغ عملية افتراضية لمسح الدماغ بأكمله ونسخ كل خلية عصبية فيه (يقدر عددها بنحو 86 مليار خلية) وكل اتصال عصبي لمحاكاة جميع وظائف الدماغ على حاسوب ليصبح قادراً على العمل والاستجابة بالطريقة التي يعمل بها الدماغ الأصلي.
Social graph,المخطط الاجتماعي,https://arabicglossary.dubaifuture.ae/ar/words/social-graph,تمثيل للترابط بين العلاقات في الشبكة الاجتماعية على شبكة الإنترنت.
Sun synchronous orbit,المدار المتزامن مع الشمس,https://arabicglossary.dubaifuture.ae/ar/words/sun-synchronous-orbit,هو مدار قطبي تقريبًا حول كوكب يمر القمر الاصطناعي فيه فوق أي نقطة معينة من سطح الكوكب يوميًا في نفس التوقيت الشمسي.
Autonomous ground vehicle (AGV),المركبات الأرضية ذاتية القيادة,https://arabicglossary.dubaifuture.ae/ar/words/autonomous-ground-vehicle-agv,بواسطة مجموعة من النقاط المبرمجة مسبقاً بالإضافة إلى الرؤية الحاسوبية وأجهزة الاستشعار. وتستخدم المركبات الأرضية الآلية الأكثر تقدماً الذكاء الاصطناعي لاتخاذ القرارات والتنقل في مختلف المواقع.
Autonomous ground vehicle (AGV) Lockers,المركبات الأرضية ذاتية القيادة المزودة بخزائن,https://arabicglossary.dubaifuture.ae/ar/words/autonomous-ground-vehicle-agv-lockers,هي مركبات أرضية آلية مزودة بخزائن، يمكنها التنقل في الأحياء السكنية وإيصال الطلبات إلى أبواب المنازل، ثم إخطار الزبائن لاستلامها.
Biofoundries,المسابك الحيوية,https://arabicglossary.dubaifuture.ae/ar/words/biofoundries,تطبق المسابك الحيوية المبادئ الهندسية، ومنها وضع النماذج الأولية والاختبار والتوحيد القياسي، في مجال الهندسة الوراثية للخلايا الحية ضمن تطبيقات محددة، ومنها استحداث أنواع من المواد الحيوية أو الوقود الحيوي. تشبه المسابك الحيوية مختبرات مؤتمتة تنتج كميات كبيرة من السوائل الأساسية التي تتيح دورات تصميم وإنشاء واختبار وتعلّم فائقة السرعة.
Nova,المستعر أو الطارف,https://arabicglossary.dubaifuture.ae/ar/words/nova,نجم يبدي زيادة كبيرة مفاجئة في السطوع ثم يعود ببطء إلى حالته الأصلية خلال بضعة أشهر.
Metallicity,المعدنية,https://arabicglossary.dubaifuture.ae/ar/words/metallicity,وفرة العناصر الأثقل من الهيدروجين أو الهيليوم في جسم معين.
Overfitting,الملاءمة المفرطة,https://arabicglossary.dubaifuture.ae/ar/words/overfitting,وضع تحليل يتوافق بصورة وثيقة جدًا أو تامة مع مجموعة معينة من البيانات، ما قد يعوق ملاءمة المزيد من البيانات أو توقع الملاحظات المستقبلية بشكلٍ موثوق.
Default logic,المنطق الافتراضي,https://arabicglossary.dubaifuture.ae/ar/words/default-logic,طريقة للاستدلال تساعد في عمل استنتاجات معقولة عند وجود معلومات غير كاملة أو محدودة عن المشكلة المطروحة.
Biodome,المنطقة الأحيائية,https://arabicglossary.dubaifuture.ae/ar/words/biodome,المنطقة الأحيائية هي نظام بيئي قائم بذاته يمكن استخدامه للبحث العلمي والتعليم وحماية البيئة والسياحة.
Active skills,المهارات الفعّالة,https://arabicglossary.dubaifuture.ae/ar/words/active-skills,يجب أن تكون المهارات التي نحتاجها في المستقبل فعّالة وديناميكية بطبيعتها، وهي تمكننا من التواصل والمشاركة في تغيير العالم.
Adaptive materials,المواد التكيفية,https://arabicglossary.dubaifuture.ae/ar/words/adaptive-materials,تُصمَّم المواد التكيفية على المستوى الجزيئي لتكييف خصائصها استجابةً لتغير العوامل الخارجية. مثلاً، قد تعدّل المادة قدرتها على امتصاص الحرارة أو إطلاقها استجابةً لتغير درجة الحرارة، لتحافظ على درجة الحرارة ضمن حدود محددة مسبقاً. وقد تُصمَّم المواد التكيفية لتتأثر بالماء أو الضوء أو الحرارة أو عوامل أخرى.
Biomaterials,المواد الحيوية,https://arabicglossary.dubaifuture.ae/ar/words/biomaterials,تشمل المواد الحيوية أي مادة أو سطح أو تركيب يتفاعل مع النظم الحيوية. وقد تكون هذه المواد طبيعية أو صنعية، وتتضمن مكونات من المعادن أو البوليمر أو السيراميك. تُصمَّم هذه المواد لتكون لها خصائص محددة لاستخدامها في مجالات معينة، ومنها الطب والرعاية الصحية والنسيج ومواد البناء والتغليف.
Biomaterials,المواد الحيوية,https://arabicglossary.dubaifuture.ae/ar/words/biomaterials-2,تشمل المواد الحيوية أي مادة أو سطح أو تركيبة تتفاعل مع النظم الحيوية. وقد تكون هذه المواد طبيعية أو اصطناعية، وتتضمن مكونات من المعادن أو البوليمر أو السيراميك. وتُُصمََّم هذه المواد لتكون لها خصائص محددة بهدف استخدامها في مجالات معينة، منها الطب والرعاية الصحية وإنتاج الأنسجة ومواد البناء وعمليات التغليف.
Carbon-based nanomaterials (CBM),المواد النانوية (بحجم النانو) القائمة على الكربون,https://arabicglossary.dubaifuture.ae/ar/words/carbon-based-nanomaterials-cbm,تكون المواد النانوية القائمة على الكربون بمقياس يتراوح من نانومتر واحد إلى 100 نانومتر، ويمكن أن تشمل أنابيب النانو، والغرافين، والنقاط الكمومية الكربونية.
Phase Change Material,المواد متغيرة الطور,https://arabicglossary.dubaifuture.ae/ar/words/phase-change-material,مادة تطلق طاقة عند تغير الطور أو تمتصها فتوفر حرارة يُستفاد منها في التدفئة والتبريد.
Router,الموجه,https://arabicglossary.dubaifuture.ae/ar/words/router,أداة كهربائية مزودة بقاطع حاد تستخدم في أعمال النجارة لحفر أخاديد للوصلات والقوالب الزخرفية وغيرها.
Superconductivity and ambient superconductors,الموصلية الفائقة والموصلات الفائقة في حرارة الغرفة,https://arabicglossary.dubaifuture.ae/ar/words/superconductivity-and-ambient-superconductors,تعني الموصلية الفائقة اختفاء مقاومة التيار الكهربائي المستمر. وتصل عدة مواد إلى هذه الحالة عند بلوغها درجات حرارة منخفضة جداً. والموصلات الفائقة في حرارة الغرفة، مواد تمتاز بخصائص الموصلية الفائقة دون الحاجة إلى تبريدها.
Superfluidity,الميوعة الفائقة,https://arabicglossary.dubaifuture.ae/ar/words/superfluidity,خاصية التدفق دون احتكاك أو لزوجة مثل الهيليوم السائل تحت حوالي 2.18 كلفن (-270 درجة حرارة مئوية)
Peer to Peer,الند للند,https://arabicglossary.dubaifuture.ae/ar/words/peer-to-peer,مصطلح يشير إلى الشبكات التي يعمل فيها كل حاسوب خادمًا للحواسيب الأخرى، ما يتيح الوصول المشترك إلى الملفات والملحقات دون الحاجة إلى خادم مركزي.
Radioactive isotope,النظائر المشعة,https://arabicglossary.dubaifuture.ae/ar/words/radioactive-isotope,النظائر المشعة أو النويدات المشعة، تشمل عدة أنواع من عنصر كيميائي واحد، ولها كتل مختلفة. تكون نواتها غير مستقرة وتبدد الطاقة الزائدة عبر إطلاق أشعة ألفا وبيتا وجاما بصورة تلقائية.
Rule-based system,النظم المبنية على القواعد,https://arabicglossary.dubaifuture.ae/ar/words/rule-based-system,نظام يطبق قواعد وضعها الإنسان لتخزين البيانات وفرزها ومعالجتها ويحاكي بذلك الذكاء البشري.
Transfer learning,النقل الاستقرائي,https://arabicglossary.dubaifuture.ae/ar/words/transfer-learning,مشكلة بحثية في التعلم الآلي تركز على تخزين المعرفة المكتسبة من حل مشكلة معينة وتطبيقها على مشكلة مختلفة قريبة منها.
Modelling,النمذجة,https://arabicglossary.dubaifuture.ae/ar/words/modelling,النمذجة هي إحدى المنهجيات الكمية لاستشراف المستقبل التي تساعدنا في فهم التسلسل المنطقي للأحداث
Northern Annular Mode (NAM),النمط الحلقي الشمالي,https://arabicglossary.dubaifuture.ae/ar/words/northern-annular-mode,يُسمّى أيضًا تذبذب القطب الشمالي، وهو صورة طبيعية لتقلب المناخ، ويوجد نمط مماثل له فوق المحيط الأطلسي، لكنه يبدو حلقيًا أكثر عند النظر إليه من الأعلى.
Network motif,النمط المتكرر للشبكة,https://arabicglossary.dubaifuture.ae/ar/words/network-motif,رسوم بيانية فرعية أو أنماط لرسم بياني أكبر، متكررة ولها أهمية إحصائية.
Predictive Model,النموذج التنبؤي,https://arabicglossary.dubaifuture.ae/ar/words/predictive-model,استخدام النتائج المعروفة لإنشاء نموذج ومعالجته والتحقق من صحته لاستخدامه للتنبؤ بالنتائج المستقبلية.
Neurotransmitters,النواقل العصبية,https://arabicglossary.dubaifuture.ae/ar/words/neurotransmitters,النواقل العصبية مراسيل كيميائية تنقل الإشارات بين الخلايا العصبية عبر المشابك. وتتحكم النواقل العصبية بمجموعة من الوظائف وتشمل السيروتونين المسؤول عن التحكم بالمزاج والميلاتونين المسؤول عن تنظيم النوم.
Geoengineering,الهندسة الجيولوجية,https://arabicglossary.dubaifuture.ae/ar/words/geoengineering,التدخل المتعمَّد على نطاق واسع في الأنظمة الطبيعية الأرضية لمواجهة التغير المناخي. تشمل الهندسة الجيولوجية مجموعة من التقنيات المصممة للتأثير على البيئة بطريقة تحد من آثار تغير المناخ أو التصدي لها جزئياً. وتشمل أساليب الهندسة الجيولوجية إدارة الإشعاع الشمسي واستمطار السحب والتقاط ثاني أكسيد الكربون.
Solar geoengineering,الهندسة الشمسية للأرض,https://arabicglossary.dubaifuture.ae/ar/words/solar-geoengineering,هو نوع من هندسة المناخ يُعكس فيه ضوء الشمس للحد من ظاهرة الاحتباس الحراري أو عكس مسارها. وتشمل الطرق المقترحة زيادة البياض الكوكبي عن طريق حقن رذاذ كبريتات في طبقة الستراتوسفير مثلًا.
Biomedical engineering,الهندسة الطبية الحيوية,https://arabicglossary.dubaifuture.ae/ar/words/biomedical-engineering,عملية مزج مبادئ الهندسة مع المعرفة الطبية لتلبية الاحتياجات الطبية. وساعدت في تطوير ابتكارات منقذة للحياة.
3D Holograms,الهولوجرام ثلاثي الأبعاد,https://arabicglossary.dubaifuture.ae/ar/words/3d-holograms,عرض ثلاثي الأبعاد لا يتطلب نظارات معينة لمشاهدته. وتستخدم هذه التقنية لعرض المنتجات والأشياء والرسوم المتحركة بصورة ثلاثية الأبعاد فتبدو كأنها أشياء حقيقة طافية في الهواء.
Frontend,الواجهة الأمامية,https://arabicglossary.dubaifuture.ae/ar/words/frontend,الجزء الذي يتعامل معه المستخدم مباشرةً في البرنامج الحاسوبي أو التطبيق
Backend,الواجهة الخلفية,https://arabicglossary.dubaifuture.ae/ar/words/backend,جزء من نظام الحاسوب أو التطبيق لا يدخله المستخدم مباشرةً ويستخدم تخزين البيانات وتعديلها.
Biomarker,الواسم الحيوي,https://arabicglossary.dubaifuture.ae/ar/words/biomarker,يقيس الواسم الحيوي، بغض النظر عن نوعه، ما يحدث في الخلية أو الكائن الحي في وقت معيّّن. ويمكن أن تكون الواسمات الحيوية بمثابة أنظمة إنذار مبكر حول صحتك.
Augmented reality,الواقع المعزز,https://arabicglossary.dubaifuture.ae/ar/words/augmented-reality,تقنية تدمج الصورة التي يولدها الحاسوب في رؤية المستخدم للعالم الحقيقي ما ينتج رؤية مدمجة.
Augmented Reality (AR),الواقع المعزز,https://arabicglossary.dubaifuture.ae/ar/words/augmented-reality-ar,يشمل الواقع المعزز كلاًً من الأجهزة التقنية القابلة للارتداء والمخرجات الناتجة عن الجمع بين الواقع الافتراضي أو الوسائط الرقمية، والروائح والأصوات وغيرها من الإمكانيات الحسية في العالم الواقعي.
Self-Closing Tag,الوسم ذاتي الإغلاق,https://arabicglossary.dubaifuture.ae/ar/words/self-closing-tag,"أحد عناصر تعليمات لغة ترميز النص الفائق البرمجية. عادةً ما يستخدم الوسم ذاتي الإغلاق إشارة ""/"" لإغلاق وسم البداية."
Opening and closing tags (HTML tags),الوسوم الافتتاحية ووسوم الإغلاق,https://arabicglossary.dubaifuture.ae/ar/words/opening-and-closing-tags,يبدأ الوسم الافتتاحي قسمًا من محتوى الصفحة، وينهيه وسم الإغلاق.
Intelligent Agent,الوكيل الذكي,https://arabicglossary.dubaifuture.ae/ar/words/intelligent-agent,كيان مستقل يعمل على بيئة معينة باستخدام الحساسات والمحركات لتحقيق الأهداف. وقد يتعلم الوكيل الذكي من البيئة لتحقيق أهدافه
Proton Emission,انبعاث البروتون,https://arabicglossary.dubaifuture.ae/ar/words/proton-emission,نوع نادر من التحلل الإشعاعي يُطرَد فيه البروتون من النواة.
Multilevel selection (group selection),انتخاب متعدد المستويات,https://arabicglossary.dubaifuture.ae/ar/words/multilevel-selection,آلية تطور مقترحة يعمل فيها الانتقاء الطبيعي على مستوى المجموعة بدلًا من المستوى التقليدي (مستوى الفرد).
Orbital Eccentricity,انحراف مداري,https://arabicglossary.dubaifuture.ae/ar/words/orbital-eccentricity,قيمة رقمية بلا واحدة تحدد مقدار انحراف مدار جسم يدور حول جسم آخر عن دائرة كاملة.
Solar eruptions,اندفاعات شمسية,https://arabicglossary.dubaifuture.ae/ar/words/solar-eruptions,اندلاع مفاجئ للطاقة المغناطيسية على سطح الشمس أو بالقرب منها، وعادة ما يرتبط بالبقع الشمسية ويصاحبه اندفاعات للإشعاعات والجسيمات الكهرومغناطيسية.
Intelligence Explosion,انفجار الذكاء,https://arabicglossary.dubaifuture.ae/ar/words/intelligence-explosion,مصطلح يصب النتائج النهائية للعمل على الذكاء الاصطناعي العام والذي يعتقد أنه سيؤدي إلى تفرد الذكاء الاصطناعي لينتج ذكاءً اصطناعياً فائقًا يفوق القدرات المعرفية البشرية. ويعني مصطلح انفجار الذكاء أن جوانب التكرار الذاتي للذكاء الاصطناعي ستتخذ القرارات بدلًا من البشر. ويصف المصطلح سيناريوهات مستقبلية عديدة.
Python,بايثون (لغة برمجة عالية المستوى),https://arabicglossary.dubaifuture.ae/ar/words/python,لغة برمجة مفسرة عالية المستوى متعددة الاستخدامات.
Hazmat Suit,بذلة حماية (هازمات),https://arabicglossary.dubaifuture.ae/ar/words/hazmat-suit,هي من معدات الحماية الشخصية، تتألف من رداء غير مُنفذ، وأدوات أخرى مصمَّمة خصوصًا لحماية لابسها من المواد الخطيرة والكيماويات والعوامل الحيوية والمشعة –لكنها لا تناسب الحروب– في أثناء التعامل مع بيئة يُحتمل فيها وجود تلك الأشياء الخطيرة.
Natural language programming,برمجة اللغات الطبيعية,https://arabicglossary.dubaifuture.ae/ar/words/natural-language-programming,(في مجال الحوسبة): لغة بشرية مثل الإنجليزية والروسية والألمانية... وتختلف عن لغة الأوامر أو لغة البرمجة المصطنعة التي يخاطب فيها البشر الحاسوب.
Inductive Logic Programming (ILP),برمجة المنطق الاستقرائي,https://arabicglossary.dubaifuture.ae/ar/words/inductive-logic-programming-ilp,الحقل الفرعي لتعلم الآلة الذي يستخدم منطق الدرجة الأولى لتمثيل الفرضيات والبيانات. وتستهدف برمجة المنطق الاستقرائي المشكلات التي تتضمن البيانات المنظمة والمعرفة الأساسية. وتتعامل مع مجموعة متنوعة من مشكلات تعلم الآلة مثل التصنيف والانحدار والتكتل والتعلم المعزز. وتستخدم غالبًا ترقيات أنظمة تعلم الآلة الحالية.
Bayesian programming,برمجة بايزية,https://arabicglossary.dubaifuture.ae/ar/words/bayesian-programming,طريقة إحصائية لوضع نماذج الاحتمالات وحل المشكلات ذات النهايات المفتوحة والمعلومات غير الكاملة. وتهدف البرمجة البايزية إلى التعبير عن الحدس البشري جبريًا وتطوير أنظمة ذكاء اصطناعي أكثر تنوعًا وذكاءً.
Object-Oriented Programming (OOP),برمجة كائنية التوجه,https://arabicglossary.dubaifuture.ae/ar/words/object-oriented-programming,نموذج برمجة يعتمد على مفهوم الكائنات (العناصر)، وقد يحتوي على بيانات وأسطر برمجية: بيانات على صورة حقول، وأسطر برمجية على صورة إجراءات.
Logic programming,برمجة منطقية,https://arabicglossary.dubaifuture.ae/ar/words/logic-programming,استراتيجية برمجية تستخدم دوائر منطقية عوضًا عن دوال رياضية فقط للتحكم في كيفية التعبير عن الحقائق والقواعد، كثيرًا ما تستخدم البرمجية المنطقية في البرمجة الوراثية، ويعتمد نهجها على تغذية نموذج بالهدف اللازم تحقيقه عوضًا عن كيفية تحقيقه. وتكتب القواعد المنطقية للبرمجية في صورة بنود منطقية، عوضًا عن الاعتماد على تدفق ضبط منظم يحدد موعد تنفيذ التعليمات وكيفية تقييم الوظائف.
Structure-mapping engines,برمجيات تعيين التشابه,https://arabicglossary.dubaifuture.ae/ar/words/structure-mapping-engines,تطبيق في برنامج خوارزمية للمطابقة التناظرية على أساس النظرية النفسية لـديدري غنتنر.
Open-source software,برمجيات مفتوحة المصدر,https://arabicglossary.dubaifuture.ae/ar/words/open-source-software,نوع من برامج الحاسوب تُنشر فيه التعليمات البرمجية المصدرية بموجب ترخيص يمنح فيه صاحب حقوق النشر للمستخدمين حقوق استخدام البرنامج ودراسته وتغييره وتوزيعه على أي شخص ولأي غرض.
Bone Morphogenetic Protein,بروتين التخلق العظمي,https://arabicglossary.dubaifuture.ae/ar/words/bone-morphogenetic-protein,بروتين يحفز تكوين العظام والتئامها.
Prolog,برولوج (لغة برمجة منطقية),https://arabicglossary.dubaifuture.ae/ar/words/prolog,لغة برمجة منطقية مرتبطة بالذكاء الاصطناعي واللغويات الحاسوبية.
Time stamp,بصمة زمنية,https://arabicglossary.dubaifuture.ae/ar/words/time-stamp,سجل رقمي لوقت وقوع حدث معين.
Flow battery,بطارية تدفق,https://arabicglossary.dubaifuture.ae/ar/words/flow-battery,نوع من الخلايا الكهروكيميائية التي تولد الطاقة الكيميائية عبر مركبين كيميائيين مذابين في سوائل داخل النظام ومفصولين بغشاء
Pixels Per Inch (PPI),بكسل لكل بوصة,https://arabicglossary.dubaifuture.ae/ar/words/pixels-per-inch,وحدة قياس كثافة البكسل لأجهزة عرض الصور الإلكترونية، كشاشات الحاسوب أو التلفاز، أو أجهزة التصوير الرقمي كالكاميرات والماسحات الضوئية.
Blockchain,بلوكتشين,https://arabicglossary.dubaifuture.ae/ar/words/blockchain,هي قاعدة بيانات موزعة تمتاز بقدرتها على إدارة قائمة متزايدة باستمرار من السجلات المسماة كُتلا.
Environment,بيئة,https://arabicglossary.dubaifuture.ae/ar/words/environment,"الظروف والأشياء التي تحيط بالشخص, مجموع العناصر الفيزيائية والكيميائية والحيوية التي تؤثر على الكائن الحي أو المجتمع وتحدد طريقة حياته"
Integrated Development Environment (IDE),بيئة تطوير متكاملة,https://arabicglossary.dubaifuture.ae/ar/words/ide-integrated-development-environment,تطبيقات تقدم قدرات شاملة لمبرمجي الحواسيب لتطوير البرمجيات.
Abstraction,تجرد,https://arabicglossary.dubaifuture.ae/ar/words/abstraction,عملية فصل شيءٍ عن العوامل المحيطة به التعامل مع الأفكار بدلًا من الأحداث
Radio-frequency identification (RFID),تحديد الهوية بموجات الراديو,https://arabicglossary.dubaifuture.ae/ar/words/radio-frequency-identification,طريقة تعتمد على المجالات الكهرومغناطيسية لتحديد الوسوم المرفقة بالعناصر وتعقبها تلقائيًا. يتكون وسم تحديد الهوية بموجات الراديو من معيد بث لاسلكي صغير مؤلف من جهاز استقبال وجهاز إرسال.
Spacewalks,تحركات خارج المركبة الفضائية,https://arabicglossary.dubaifuture.ae/ar/words/spacewalks,فترة من النشاطات البدنية التي يكون بها رائد فضاء خارج مركبة فضائية.
Website optimization,تحسين الموقع الإلكتروني,https://arabicglossary.dubaifuture.ae/ar/words/website-optimization,عملية استخدام تجارب خاضعة للتحكم لتحسين قدرة المواقع الإلكترونية على قيادة أهداف العمل
Search Engine Optimization (SEO),تحسينات الموقع أمام محركات البحث,https://arabicglossary.dubaifuture.ae/ar/words/search-engine-optimization,هي عملية تحسين عدد ونوعية زيارات موقع أو صفحة على شبكة الإنترنت ونوعيتها انطلاقًا من محركات البحث.
Opinion mining (sentiment analysis),تحليل المشاعر,https://arabicglossary.dubaifuture.ae/ar/words/opinion-mining,استخدام معالجة اللغة الطبيعية وتحليل النصوص واللغويات الحسابية والقياسات الحيوية لتحديد الحالات العاطفية والمعلومات الذاتية واستخراجها وقياسها ودراستها بصورة منهجية.
PESTLE analysis,تحليل بيستل,https://arabicglossary.dubaifuture.ae/ar/words/pestle-analysis,يهدف التحليل إلى إنشاء إطار عمل لدراسة العوامل الرئيسة الستة التالية: السياسية والاقتصادية والاجتماعية والتقنية والقانونية والبيئية.
SWOT analysis,تحليل سوات,https://arabicglossary.dubaifuture.ae/ar/words/swot-analysis,يهدف التحليل إلى إنشاء إطار عمل منطقي لتحليل نقاط القوة والضعف والفرص والتهديدات.
Biomass conversion,تحول الكتلة الحيوية,https://arabicglossary.dubaifuture.ae/ar/words/biomass-conversion,عملية تحول الكتلة الحيوية إلى طاقة، وهي مادة عضوية تمثل مصدر متجدد للطاقة تستخلص من النباتات والحيوانات، .
Caching,تخزين مؤقت,https://arabicglossary.dubaifuture.ae/ar/words/caching,ذاكرة حاسوبية مؤقتة تستخدم لتخزين الأوامر أو البيانات المتكررة أو تلك التي استخدمت مؤخرًا بصورة مؤقتة.
Genome sequence,تسلسل الجينوم,https://arabicglossary.dubaifuture.ae/ar/words/genome-sequence,معرفة ترتيب قواعد الحمض النووي أو نيوكليوتيداته في جينوم معين، أي ترتيب (إيه وسي وجي وتي) الذي يشكِّل الحمض النووي للكائن الحي.
Disease classifiers,تصنيف المرض,https://arabicglossary.dubaifuture.ae/ar/words/disease-classifiers,تحليل بيانات المرض وإزالة التناقضات وتصحيح البيانات الخاطئة لضمان صحة تعريف المرض وتصنيفه.
Intelligence amplification,تضخيم الذكاء,https://arabicglossary.dubaifuture.ae/ar/words/intelligence-amplification,يعني أن التقنيات قد تساعد الذكاء البشري بدلًا من العمل كذكاء اصطناعي مستقل. وتعمل أنظمة تضخيم الذكاء على تعزيز ذكاء الإنسان لتحسين قدرته على اتخاذ القرارات.
Batch normalization,تطبيع الدفعة,https://arabicglossary.dubaifuture.ae/ar/words/batch-normalization,تقنية تحسّن سرعة الشبكات العصبية وأداءها وثباتها. وتستخدم لتطبيع طبقة المدخلات إحصائيًا من خلال إعادة التمركز وإعادة تحديد المقياس.
Native Apps,تطبيق الجوال الأصلي,https://arabicglossary.dubaifuture.ae/ar/words/native-apps,تطبيق برمجي مصمم بلغة برمجة معينة لمنصة محددة، إما آي أو إس أو أندرويد.
Hybrid App,تطبيق هجين,https://arabicglossary.dubaifuture.ae/ar/words/hybrid-app,تطبيق يجمع بين تطبيقات الإنترنت المصمَّمة لمتصفحات الإنترنت، والتطبيقات الأصلية المصمَّمة لمنصات محددة لا بد من تثبيتها على الجهاز.
Progressive Web App,تطبيق ويب تقدمي,https://arabicglossary.dubaifuture.ae/ar/words/progressive-web-app,نوع من برامج التطبيقات المقدمة عبر الإنترنت، والمصممة باستخدام تقنيات الويب الشائعة، ومنها لغة ترميز النص الفائق (إتش تي إم إل) وأوراق الأنماط المتتالية (سي إس إس) وجافا سكريبت.
Mobile Applications (or apps),تطبيقات الأجهزة المحمولة,https://arabicglossary.dubaifuture.ae/ar/words/mobile-applications,برنامج حاسوبي صمم كي يعمل على الأجهزة المحمولة مثل الهواتف والحواسيب اللوحية والساعات.
Web apps,تطبيقات الويب,https://arabicglossary.dubaifuture.ae/ar/words/web-apps,تطبيقات تستخدم خوادم شبكة الإنترنت، وتختلف عن التطبيقات التقليدية التي تعمل على الحواسيب بصورةٍ محلية.
Machine learning,تعلم الآلة,https://arabicglossary.dubaifuture.ae/ar/words/machine-learning,أحد تطبيقات الذكاء الاصطناعي، يتيح للأنظمة التعلم والتحسين تلقائيًا بالتجربة دون الحاجة إلى برمجتها مباشرة. يركز تعلم الآلة على تطوير برامج حاسوب بإمكانها الوصول إلى البيانات واستخدامها للتعلم ذاتيًا.
Similarity learning,تعلم التشابه,https://arabicglossary.dubaifuture.ae/ar/words/similarity-learning,هو مجال من مجالات تعلم الآلة في الذكاء الاصطناعي الخاضع للإشراف البشري. يرتبط ارتباطًا وثيقًا بتحليل الانحدار الإحصائي والتصنيف الإحصائي، ولكن هدفه هو تعلم دالة تقيس مدى التشابه أو الارتباط بين كائنين.
Temporal difference learning,تعلم الفوارق الزمنية,https://arabicglossary.dubaifuture.ae/ar/words/temporal-difference-learning,مصطلح يشير إلى فئة من طرائق التعلم التعزيزية الخالية من النماذج والتي تتضمن التعلم عن طريق الانطلاق من التقدير الحالي لدالة القيمة.
Technology education,تعليم التقنية,https://arabicglossary.dubaifuture.ae/ar/words/technology-education,دراسة التقنية كي يتعلم الطلاب العمليات والمعارف المرتبطة بها. ويغطي ذلك قدرة الإنسان على تشكيل العالم المادي وتغييره كي يلبي الاحتياجات من خلال تعديل المواد والأدوات باستخدام التقنيات.
Biospherisation,تغير المحيط الحيوي,https://arabicglossary.dubaifuture.ae/ar/words/biospherisation,التغيرات التي تؤثر على المحيط الحيوي نتيجة التدخل البشري.
Dimensionality reduction,تقليل الأبعاد,https://arabicglossary.dubaifuture.ae/ar/words/dimensionality-reduction,عملية تقليل عدد المتغيرات العشوائية التي تخضع للدراسة.
Construction technology,تقنية التشييد,https://arabicglossary.dubaifuture.ae/ar/words/construction-technology,مصطلح يشير إلى أدوات مبتكرة وآلات وتعديلات وبرمجيات تستخدم خلال مرحلة تشييد مشروع فتساعد في تطوير وسائل البناء ويتضمن ذلك الأدوات المؤتمتة وشبه المؤتمتة.
