Abortion,إجهاض
Right,حق
Ring-a-ring-a-roses,لعبة الدوارة
Rule,قاعدة
Same,الشيء نفسه
Sample,عينة
Sanctity,قداسة
Satisfaction,رضا
Satisfy,يستوفي/ يحقق
Sceptical,ريبي
Scheme,ﺁلية/ إجرائية/ ترتيبات/ نظام/ رسم
Science,علم
Scruple,مقدار ضئيل/ حيرة/ وسوسة
Second-Order Principles,مبادئ من المرتبة الثانية
Self,أنا/ نفسه
Self Consciousness,وعيي/ الوعي الخاص
Selfishness,أنانية
Self-Knowledge,معرفة الذات
Self-Understanding,فهم الذات/ فهم ذاتي
Sensation,إحساس
Sensationalism,نزعة حسية
Sense,حس/ حاسة/ معنى /مغزى
Sense-Impression,انطباع حسي
Senseless,عديم المحتوى
Sensible Ideas,أفكار حسية
Sensible Qualities,كيفيات حسية
Sensory Field,حقل حسي
Sensory Space,مكان حسي
Sentence,جملة/ قضية/ مقطع
Sequence,متوالية/ سلسلة (متوالية)
Shape,مظهر خارجي
Share,يشارك(أو له حصة)
Should like to,رغب، يرغب
Sign,رمز/ علامة
Sign Nominatum,عبارة المسمى (الدلالة)
Sign Production by Other Persons,تلفظ الغير
Sign Statement,عبارة العلامة
Sign/ Symbol,علامة/ رمز
Signal/Sign/Reference,إشارة
Significant proposition,قضية مفعمة معنى
Sign-post,علامة إرشاد
Similarity,تشابه/ تماثل
Similarity Circles,دوائر التشابه
Simple Ideas,أفكار بسيطة
"Simplicity (Principle of Greatest
Simplicity)",بساطة (المبدأ الأقصى للبساطة)
Sleights,حيلة/ مكر
Snare,فخ/ شرك
Social Union,اتحاد اجتماعي
Socialism,مذهب اشتاركي
Solidity,متانة
Solipsism,نزعة الأنا وحدي/ مذهب الأنانية/ أنوية
Solipsists,أنويون
Sound,نغمة
Sounding like a proposition,رنين القضية
Space Class,فئة المكان
Space/ Space Order,مكان/ نظام المكان
Space-Time World,عالم زمكاني
Speaking/ Discourse,خطاب
"Special characteristic/ Characteristic
Features",سمة
Spectroscope,مطياف/ منظار التحليل الطيفي
Speculative dogmas,مذاهب نظارنية
Sphere (Objects),دائرة المواضيع
Spindle,مغزل/ عامود الدوارن
Spirit,ذهن/ روح/ فكر/ نفس
Spirit life,حياة ذهنية
Spleen,كﺂبة
Spontaneous generation,تولد تلقائي
Stability,استقرار
Standard,معيار
State,نكتة/ حال/ حالة
State Law,قانون الحالة
State Magnitudes,مقادير الحالة
State of affairs,حالة الأشياء/ ظرف الأشياء
State of consciousness,حالة وعي
State of mind,حالة ذهنية/ حالة روحية
State of vision,حالة الرؤية
Step,درج
Stereoscope,مجسام
Strains,ضغوط توتيرية
Structural Definite Description,وصف محدد بنيوي
Structure,بنية
Subject: Moral - of Possession -,ذات: أخلاقية - حائزة - مفارقة - كلها تجسيد -
"Transcendent - Radically Situated -
Radically Disembodied",كلها تجريد
Subjective justification,تبرير شخصي
Substance (Category of Substance),جوهر (مقولة الجوهر)
Substantive/ Intrinsic,جوهري/ كينوني
Substitutability,القابلية للإنابة
Substrate,أساس/ قوام/ مرتكز
Subsumption,تداخل (تضمن)
Suffocation,اختناق
Superior Intelligence,عقل أرقى
Super-likeness,صورة كبرى
Super-Order,راتوب فوقي
Superstition,خرافة/ شعوذة
Supplemental Entry,مدخل إضافي
Supposition,افتراض
Surface Grammar,نحو سطحي
Surmise,خمن، يخمن
Surrounding,سياق
Surrounding,محيط
Symbolic Logic,منطق رمزي
Symmetrical,تناظري
Symptom,عارض/ عوارض
Syntactic,إعراب
Syntax,بناء الجملة/ تركيبها
Synthesis,تركيب/ تأليف
System Form,صيغة النسق
Taking together,تواءم
Talents,مواهب
Taxation,ضريبة
Teleological Problem,غائي (مشكل)
Teleology,غائية
Telepathy,تخاطر
Template,قالب/ طبعة
Tenor,فحوى/ مغزى
That is to say...,هذا يعني..
The will,الإاردة
The word that hits it off,لفظة صائبة
Theme,موضوع
Theorem in set theory,فرضية نظرية المجموعات
Theorems of the Constructional System,مبرهنات نسق البناء
Theory Full,نظرية ممتلئة (التامة)
Theory of Order,نظرية النظام
Therapies,طرق علاج
These (s),طرح/ طروحات
Thesis,أطروحة
Thickness (of the Person),سمك (الشخص)
Thin Theory,نظرية نحيفة
Thing,الشيء
Thing in Itself,الشيء في ذاته
Thinking/ Acts of Thought,تفكير/ فعل التفكير
Thinness,نحافة (الشخص)
Third domain,حيز ثالث/ كون ثالث
Thought,خاطر
Thought,فكرة
Three Dimensional,ثلاثي الأبعاد
Three-dimensional-seeing,رؤية مجسمة
Time,زمن
Time/ Time Order,زمان/ نظام الزمان
Timeless,لازمني
To apply,استخدم/ يستخدم
To associate,قرن، يقرن
To derive,استنبط، يستنبط/ نقل، ينقل
To disappear,تبدد، يتبدد
To expect,ترقب
To fit,يلائم
To know the way about,فهمنا في الشيء
To master,تحكم، يتحكم
To mean,يريد أن يقول/ يعني
To recognize,التعرف من جديد
To refer,أحال، يحيل
To signifie,أشار، يشير
To suit,يناسب/مناسب
To take in,استوعب
To try,اختبر، يختبر
To use,استعمل، يستعمل
Touch Points,نقط التماس
Tradionalism/ Conventionalism,نزعة تقليدية/ اتفاقية
Tradition,تقليد
Train of thought,استدلال
Transcendent,مفارق
Transcendental,متعال
Transformation of Statements,تحويل العبارات
Transition,انتقال
Translation,ترجمة
Trisection,انثلاث
Trope,مجاز
Truth function,دالة الحقيقة (دوال الحقيقة)
Truth table,جدول الحقيقة
Truth Value,قيمة الصدق/ قيمة حقيقة
Truthfulness,صدق
Two-dimensional Representation,عرض مسطح (ذو بعدين)
Type/ Type Theory,نمط/ نظرية الأنماط
Unanalyzable Unit,وحدة ممتنعة التحليل
Unanswerable Questions,مسألة غير قابلة للبت
Uncanny,غريب/ خارق للطبيعة
Uncertainty,عدم تعين
Understanding,ذهن/ فعل الفهم/ فهم
Unencumbered Person/ or Subject,شخص/ ذات غير مثقل
Unicorn,أحادي القرن(حيوان خرافي له جسم فرس)
Unified Science,علم موحد
Uniform,متشاكل
Uniformly,متجانسة
Union under one head,اقتران شخصي
Unity of the Object Domain,وحدة مجال المواضيع
Universal meaning,مدلول عام
Upshot,زبدة/ نتيجة
Use,استعمال
Use of language,ممارسة اللغة
Utilitarian,نفعي/ القائل بمبدأ المنفعة
Utilitarianism,مذهب المنفعة (للأكثرية)
Utilitarism,نفعية/ المذهب النفعي
Utility,منفعة
Utopia,يوتوبيا (فكرة أو نظرية خيالية غير واقعية)
Utterance,قول مأثور
Uttering,تلفظ
Vacillation,تردد/ تذبذب
Vacuum,فراغ
Value,قيمة
Value/ Worth (Moral),قيمة/ جدارة أخلاقية
Vehicle of thought,ناقلة أفكار
Veil,نقاب
Veil of Ignorance,ستار الجهل
Veracity,صدقية
Verbal expression,تعبير لغوي
Verifiable,قابل للتحقق
Verisimilitude,لعلية
Vestige,أثر صغير/ ذرة
Virtue,فضيلة/ خصلة/ فضل/ أحيانا
Vis- inertiae,قوة العطالة
Visual Field,حقل بصري
Visual room,غرفة مرئية
Visual World,عالم مرئي
Vivacity,حدة/ حيوية
Volition,مشيئة
Voluntary,طوعي/ إاردي
Vowel,صوائت
Well-Founded,بت الأسس
Well-Ordered,حسن التنظيم
Well-Ordered Society,مجتمع محكم التنظيم
Whole,الكل
Willing,فعل الإاردة
Willing subject,مريد
Wish,رغبة
Wisp,خيط رفيع / حزمة صغيرة
Witness,شاهد
Word,كلمة / لفظة
Word definition,تفسير اللفظة
World,كون
World of Physics,عالم فيزيائي
World Point,نقط العالم
Wrong,زائف
Wrong/ False,خاطئ
Yoke,يربط/يجمع
