English,Arabic,URL
Padding,الحشوُ  عمليَّةُ إضافةِ قِيمةٍ (غالبًا صِفر) إلى حَوافِّ الصُّورةِ، إمَّا لتعديلِ أبعادِ الصُّورةِ بحيثُ تتلاءمُ معَ أبعادِ دخلِ الشَّبَكَةِ أو للحِفاظِ على أبعادِ الصُّورةِ قبلَ تطبيقِ عملِيَّةِ جِداءِ الطَّيِّ وبعدَهُ؛ لأنَّ تطبيقَ هذه العملِيَّةِ يؤدي إلى خفضِ الأبعادِ.,https://aiinarabic.com/glossary/padding/
Pandas,مكتبةُ تحليلِ البياناتِ في بايثون (بانداس),https://aiinarabic.com/glossary/pandas/
Parameter,مُعامِلٌ,https://aiinarabic.com/glossary/parameter/
Part of Speech,أقسامُ الكلامِ,https://aiinarabic.com/glossary/part-of-speech/
Partial Least Squares Regression,انحدار المربعات الصغرى الجزئيّة,https://aiinarabic.com/glossary/partial-least-squares-regression/
Patch Embedding,تضمين الدّفعة,https://aiinarabic.com/glossary/patch-embedding/
Pattern Recognition,التّعرف على الأنماط,https://aiinarabic.com/glossary/pattern-recognition/
Pixel,البكسل,https://aiinarabic.com/glossary/pixel/
Point Cloud,السحابة النقطيّة,https://aiinarabic.com/glossary/point-cloud/
Poisson Regression,انحدار بواسون,https://aiinarabic.com/glossary/poisson-regression/
Polynomial Features,مزايا كثيرة الحدود,https://aiinarabic.com/glossary/polynomial-features/
Polynomial Regression,انحدار متعدد الحدود,https://aiinarabic.com/glossary/polynomial-regression/
Pooling,التَّجميعُ  لأنَّها تجمعُ مجموعةً من القِيَمِ إلى مثلاً قيمة الأكبرِ بينهم أو قِيمةِ المُتوسِّطِ من بينهم.بدائل التصحيح:لأنَّها تجمعُ مجموعةً من القِيَمِ إلى قيمةِ الأكبرِ بينها مَثلًا أو إلى قيمةِ المُتوسِّطِ بينها.عمليَّةٌ تجمعُ مجموعةً من القِيَمِ إلى قيمةِ العددِ الأكبرِ بينها مَثلًا أو إلى قيمةِ العددِ المُتوسِّطِ بينها.عمليةٌ تجمعُ مجموعةً من القِيَمِ إلى القيمة الكبرى فيها مَثلًا أو إلى القيمةِ المُتوسِّطةِ فيها.,https://aiinarabic.com/glossary/pooling/
Positional Embedding,التّضمين الموضعيّ,https://aiinarabic.com/glossary/positional-embedding/
Positional Encoding,التّشفير الموضعي,https://aiinarabic.com/glossary/positional-encoding/
Positive Skewed,منحرف بشكل إيجابيّ,https://aiinarabic.com/glossary/positive-skewed/
Post Pruning,التَّقليم اللّاحق,https://aiinarabic.com/glossary/post-pruning/
Precision,قيمة التنبُّؤ الإيجابي,https://aiinarabic.com/glossary/precision/
PrePruning,التَّقليم المُسبق,https://aiinarabic.com/glossary/prepruning/
Principal Component Analysis,تحليل المكونات الرئيسيّة/الأساسيّة,https://aiinarabic.com/glossary/principal-component-analysis/
Principal Components Regression,انحدار المكونات الرئيّسية,https://aiinarabic.com/glossary/principal-components-regression/
Projection Layer,طبقةُ الإسقاطِ,https://aiinarabic.com/glossary/projection-layer/
Prompt Engineering,هندسة التّلقين,https://aiinarabic.com/glossary/prompt-engineering/
Pruning,التَّقليم,https://aiinarabic.com/glossary/pruning/
Purity,النَّقاء مجموعة البيانات من صنفٍ واحدٍ فقط أو عدم وجود تباين في البيانات.,https://aiinarabic.com/glossary/purity/
Pytorch,بايتورش,https://aiinarabic.com/glossary/pytorch/
Quantile Regression,الانحدار الكمّي,https://aiinarabic.com/glossary/quantile-regression/
Quantitative Data,البيانات الكمّيّة,https://aiinarabic.com/glossary/quantitative-data/
Qubicle,كيوبكل,https://aiinarabic.com/glossary/qubicle/
Random Erasing,المسحُ العشوائيّ,https://aiinarabic.com/glossary/random-erasing/
Random Forest,الغابة العشوائيّة,https://aiinarabic.com/glossary/random-forest/
Random Multimodel Deep Learning RMDL,التَّعَلُّمُ العميقُ مُتعدِّدُ النَّماذجِ العشوائيَّةِ,https://aiinarabic.com/glossary/random-multimodel-deep-learning-rmdl/
Raw Text,النَّصُّ الخامُ,https://aiinarabic.com/glossary/raw-text/
Re-Parameterization,إعادة ضبط البارامترات,https://aiinarabic.com/glossary/re-parameterization/
Reachability Distance,مسافة قابليّة الوصول,https://aiinarabic.com/glossary/reachability-distance/
Recall,حساسية التنبُّؤ,https://aiinarabic.com/glossary/recall/
Rectified Linear Unit (Relu),وحدةُ التَّصحيحِ الخطِّيِّ,https://aiinarabic.com/glossary/rectified-linear-unit-relu/
Recurrent Convolutional Neural Networks (RCNN),شَّبَكَات الطَّيّ العُصبُونِيَّة التّكراريّة,https://aiinarabic.com/glossary/recurrent-convolutional-neural-networks-rcnn/
Recurrent Neural Networks RNN,الشَّبَكَاتُ العُصبُونِيَّةُ الإرجاعِيَّةُ,https://aiinarabic.com/glossary/recurrent-neural-networks-rnn/
Reduction Blocks,كُتلُ تقليلِ الأبعادِ,https://aiinarabic.com/glossary/reduction-blocks/
Region-Based Convolutional Neural Network (R-CNN),شَبَكَةُ الطَّيِّ العُصبُونِيَّةِ المناطِقيَّةِ,https://aiinarabic.com/glossary/region-based-convolutional-neural-network-r-cnn/
Region-based Segmentation,خوارزميّة التّجزئة حسب المنطقة,https://aiinarabic.com/glossary/region-based-segmentation/
Region of Interest Align (ROIAlign),منطقة الاهتمام,https://aiinarabic.com/glossary/region-of-interest-align-roialign/
Region Proposal Network (RPN),شبكة اقتراح المناطق المهمة,https://aiinarabic.com/glossary/region-proposal-network-rpn/
Regression,الانحدار,https://aiinarabic.com/glossary/regression/
Regularization,تَنظيمراجع مصطلح المُنظّم (Regularizer),https://aiinarabic.com/glossary/regularization/
Regularizer,مُنَظِّمٌ  سُمِّيَ مُنظِّمًا لأنَّهُ يقومُ بالتَّحكُّمِ بتابعِ الخسارةِ بإضافةِ قِيمةٍ جزائية (جَزائيَّة أم جُزئيَّة؟ فالجزاءُ يعني العقوبة غالبًا) إلى overfitting. تهدِفُ هذه العملِيَّةُ إلى الحدِّ من مُشكِلةِ الخسارةِ.,https://aiinarabic.com/glossary/regularizer/
Reinforcement Learning,التَّعَلُّمُ المُعَزَّز,https://aiinarabic.com/glossary/reinforcement-learning/
Reinforcement Learning From Human Feedback (RLHF),التّعلّم المعزّز من التّغذية الرّاجعة البشريّة,https://aiinarabic.com/glossary/reinforcement-learning-from-human-feedback-rlhf/
Rendering,توليدٌ  يتمُّ توليدُ الصُّورِ من موديل ثُنائيِّ أو ثُلاثيِّ الأبعادِ باستخدامِ برامجِ الحاسبِ.,https://aiinarabic.com/glossary/rendering/
Representational Bottleneck,"حالة عٌنق الزُجاجة التمثيليةتحدث هذه الحالة في الشبكات العُصبونية عندما تتألف طبقة ما من عدد من العُصبونات أقل بشكل واضح من عُصبونات الطبقة السابقة وبالتالي يحدث خفض كبير في أبعاد الدخل وهذا ما يُسمى بعُنق الزجاجة. في هذه الحالة يتم الحصول على تمثيل للدخل ولكن بأبعاد أقل/مخفضة ومن هنا جاء معنى ""تمثيلية"".",https://aiinarabic.com/glossary/representational-bottleneck/
Residual Connections,الوصلاتُ المُختصرَةُ,https://aiinarabic.com/glossary/residual-connections/
Residual Network,شَبَكَةُ الرَّواسِبِ  تقومُ فِكرةُ هذه الشَّبَكَةِ على التَّعَلُّمِ منَ الرَّواسبِ أو البواقي التي تحقَّقتْ بإضافةِ وصلاتٍ تُعَدُّ طُرُقًا سريعةً واصلةً بين الطَّبقاتِ للتَّخلُّصِ من صُعوبةِ تدريبِ الشَّبَكَاتِ العمِيقةِ.,https://aiinarabic.com/glossary/residual-network/
RetinaNet,ريتنا-نت,https://aiinarabic.com/glossary/retinanet/
Reward Function,دالَّةُ المُكافَأةِ,https://aiinarabic.com/glossary/reward-function/
Ridge Regression,انحدار ريدج,https://aiinarabic.com/glossary/ridge-regression/
RMSPorp,جذر متوسط مربع الإنتشار (آر إم إس بروب),https://aiinarabic.com/glossary/rmsporp/
RoBERTa,مُحوّل روبيرتا,https://aiinarabic.com/glossary/roberta/
Rolling Window Feature,مزايا النافذة المنزلقة,https://aiinarabic.com/glossary/rolling-window-feature/
Rouge,معيار تقييم جودةُ النصوص التوليديّة,https://aiinarabic.com/glossary/rouge/
Rules,القواعد,https://aiinarabic.com/glossary/rules/
Scalar Multiplication,الضرب العددي,https://aiinarabic.com/glossary/scalar-multiplication/
Scatterplot,مخطّط الانتشار,https://aiinarabic.com/glossary/scatterplot/
SciPy,مكتبةُ الحَوسَبةِ العلميَّةِ,https://aiinarabic.com/glossary/scipy/
Selective Search,خوارزميّة البحث الانتقائيّ,https://aiinarabic.com/glossary/selective-search/
Self-Attention Layer,طبقة الاهتمام الذّاتي,https://aiinarabic.com/glossary/self-attention-layer/
Semantic Reasoning,المنطق الدلاليّ,https://aiinarabic.com/glossary/semantic-reasoning/
Semantic Segmentation,التجزئةُ الدَّلاليَّةُ,https://aiinarabic.com/glossary/semantic-segmentation/
Sentiment Analysis,تحليلُ الآراءِ,https://aiinarabic.com/glossary/sentiment-analysis/
Seq2Seq Model,نموذج سلسلة إلى سلسلة,https://aiinarabic.com/glossary/seq2seq-model/
Sigmoid,التابع الأسي الجيبي (سيغمويد),https://aiinarabic.com/glossary/sigmoid/
Single Shot Detector (SSD),كاشفُ الخَطوةِ الواحدةِ,https://aiinarabic.com/glossary/single-shot-detector-ssd/
Single-Shot Detectors,كواشف المرحلة الواحدة,https://aiinarabic.com/glossary/single-shot-detectors/
Skip-Connection,وصلة تخطّي,https://aiinarabic.com/glossary/skip-connection/
Skip-Gram,نموذج تخطي الكلمات,https://aiinarabic.com/glossary/skip-gram/
SKLearn,مكتبة اس-كي للتعلّم,https://aiinarabic.com/glossary/sklearn/
Slicing,تشرِيحٌ,https://aiinarabic.com/glossary/slicing/
Sliding-Window,النافذة المنزلقة,https://aiinarabic.com/glossary/sliding-window/
Soft Margin,الهامش المرن,https://aiinarabic.com/glossary/soft-margin/
Softmax,سوفت ماكس,https://aiinarabic.com/glossary/softmax/
Spectogram,مُخطَّطاتُ التَّمثيلِ الطَّيفيِّ,https://aiinarabic.com/glossary/spectogram/
Statistical Features,المزايا الإحصائيَّةُ,https://aiinarabic.com/glossary/statistical-features/
Stemming,تجذيعٌ,https://aiinarabic.com/glossary/stemming/
Stochastic Gradient Descent (SGD),انحدارُ المُشتقِّ العشوائيِّ,https://aiinarabic.com/glossary/stochastic-gradient-descent-sgd/
Stride,خُطوةُ تحريكِ مُرشِّحِ الطَّيِّ,https://aiinarabic.com/glossary/stride/
Style Transfer,نقل النمط,https://aiinarabic.com/glossary/style-transfer/
Sub-Version,الإصدارُ الجُزئيُّ,https://aiinarabic.com/glossary/sub-version/
Supervised Learning,التَّعَلُّمُ بالإشرافِ,https://aiinarabic.com/glossary/supervised-learning/
Support Vector Machine (SVM),آلة المُتَّجه الداعم,https://aiinarabic.com/glossary/support-vector-machine-svm/
Support Vector Regression,انحدار المتّجه الداعم,https://aiinarabic.com/glossary/support-vector-regression/
Tanh,التابع الأسي الظلي,https://aiinarabic.com/glossary/tanh/
Tensor,مصفُوفَةٌ متعددةُ الأبعادِ,https://aiinarabic.com/glossary/tensor/
TensorFlow,مكتبةُ تنسور فلو للتَّعلُّمِ العميقِ من جوجل,https://aiinarabic.com/glossary/tensorflow/
Text Analysis,معالجة النصوص,https://aiinarabic.com/glossary/text-analysis/
Text Mining,تنقيب النصوص,https://aiinarabic.com/glossary/text-mining/
TF-IDF,تردُّد الكلمة- تردُّد المُستند العكسي,https://aiinarabic.com/glossary/tf-idf/
tf.keras,حُزمةُ كيراس من مكتبة تنسور فلو للتَّعلُّمِ العميقِ من جوجل,https://aiinarabic.com/glossary/tf-keras/
Theano,ثيانو,https://aiinarabic.com/glossary/theano/
Time Series,السلاسل الزمنيّة,https://aiinarabic.com/glossary/time-series/
Token,وحدةٌ لفظيَّةٌ,https://aiinarabic.com/glossary/token/
Tokenization,التَّقسيمُ إلى وحداتٍ لُغويَّةٍ,https://aiinarabic.com/glossary/tokenization/
Topic Modeling,نمذجة المواضيع,https://aiinarabic.com/glossary/topic-modeling/
Transfer Learning,نقلُ التَّعَلُّمِ,https://aiinarabic.com/glossary/transfer-learning/
Transformer,المُحَوّل,https://aiinarabic.com/glossary/transformer/
True Negative,قيمة التنبُّؤ السلبي الصحيح,https://aiinarabic.com/glossary/true-negative/
True Positive,قيمة التنبُّؤ الإيجابي الصحيح,https://aiinarabic.com/glossary/true-positive/
Two-Stage Detectors,كواشف ذات مرحلتين,https://aiinarabic.com/glossary/two-stage-detectors/
U-net,شبكةُ يو-نت,https://aiinarabic.com/glossary/u-net/
Underfitting,ملاءمة ضعيفة,https://aiinarabic.com/glossary/underfitting/
Upsampling,تكبيير الأبعاد,https://aiinarabic.com/glossary/upsampling/
Validation Loss,خسارة التحقّق,https://aiinarabic.com/glossary/validation-loss/
Vanishing Gradient Problem,مُشكِلةُ تلاشي المُشتقِّ,https://aiinarabic.com/glossary/vanishing-gradient-problem/
Vector Embedding,مُتّجه التّضّمين,https://aiinarabic.com/glossary/vector-embedding/
Vector Space Modeling,نمذجة فضاء المتجهات,https://aiinarabic.com/glossary/vector-space-modeling/
VGG Network,شبكة في جي جي,https://aiinarabic.com/glossary/vgg-network/
Violinplot,مخطّط الكمان,https://aiinarabic.com/glossary/violinplot/
Vision Transformer (ViT),محوّل الرّؤية,https://aiinarabic.com/glossary/vision-transformer-vit/
Visual Geometry Group (VGG),شَبَكَةُ مجموعةِ الهندسةِ البصريَّة,https://aiinarabic.com/glossary/visual-geometry-group-vgg/
Voxel,فوكسل,https://aiinarabic.com/glossary/voxel/
Voxelshop,فوكسل شوب,https://aiinarabic.com/glossary/voxelshop/
Word Embedding,تضمينُ الكلِماتِ,https://aiinarabic.com/glossary/word-embedding/
Word2Vec,نموذج الكلمة إلى متجه,https://aiinarabic.com/glossary/word2vec/
WordPieceTokenizer,المُقسّم إلى أجزاء الكلمات,https://aiinarabic.com/glossary/wordpiecetokenizer/
YOLOv3,يُولو الإصدار 3,https://aiinarabic.com/glossary/yolov3/
You Only Look Once (YOLO),يُولو,https://aiinarabic.com/glossary/you-only-look-once-yolo/
Zero-Shot Prompting,التّلقين بدون أمثلةٍ,https://aiinarabic.com/glossary/zero-shot-prompting/
